"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","1.5892","1.6137","1.6139","1.5610","","-1.47%"
"10/01/2024","1.6128","1.5995","1.6145","1.5780","","0.86%"
"09/01/2024","1.5991","1.5867","1.6151","1.5805","","0.78%"
"08/01/2024","1.5867","1.5726","1.6502","1.5694","","0.90%"
"07/01/2024","1.5725","1.5217","1.5771","1.5073","","3.37%"
"06/01/2024","1.5212","1.5107","1.5541","1.5085","","0.74%"
"05/01/2024","1.5101","1.4984","1.5164","1.4908","","0.81%"
"04/01/2024","1.4980","1.5012","1.5314","1.4875","","-0.15%"
"03/01/2024","1.5003","1.5351","1.5409","1.4977","","-2.21%"
"02/01/2024","1.5342","1.5595","1.5654","1.5242","","-1.62%"
"01/01/2024","1.5594","1.5739","1.5812","1.5441","","-0.88%"
"12/01/2023","1.5732","1.5495","1.5868","1.5349","","1.59%"
"11/01/2023","1.5486","1.5238","1.5613","1.5146","","1.64%"
"10/01/2023","1.5236","1.4832","1.5418","1.4809","","2.72%"
"09/01/2023","1.4832","1.5293","1.5407","1.4638","","-2.98%"
"08/01/2023","1.5288","1.5128","1.5484","1.5114","","1.09%"
"07/01/2023","1.5123","1.4788","1.5432","1.4724","","2.34%"
"06/01/2023","1.4777","1.4902","1.4951","1.4634","","-0.83%"
"05/01/2023","1.4900","1.5146","1.5443","1.4854","","-1.65%"
"04/01/2023","1.5150","1.4774","1.5388","1.4681","","2.58%"
"03/01/2023","1.4769","1.4484","1.5164","1.4418","","2.02%"
"02/01/2023","1.4477","1.4519","1.4657","1.4414","","-0.29%"
"01/01/2023","1.4519","1.4656","1.4771","1.4337","","-0.90%"
"12/01/2022","1.4651","1.4178","1.4761","1.4175","","3.37%"
"11/01/2022","1.4173","1.3606","1.4351","1.3468","","4.20%"
"10/01/2022","1.3602","1.4004","1.4030","1.3589","","-2.88%"
"09/01/2022","1.4005","1.3435","1.4061","1.3314","","4.31%"
"08/01/2022","1.3426","1.3467","1.3719","1.3322","","-0.11%"
"07/01/2022","1.3441","1.3475","1.3540","1.3189","","-0.24%"
"06/01/2022","1.3474","1.3182","1.3594","1.2817","","2.26%"
"05/01/2022","1.3176","1.3245","1.3412","1.2797","","-0.20%"
"04/01/2022","1.3203","1.3548","1.3592","1.3075","","-2.50%"
"03/01/2022","1.3542","1.3829","1.3917","1.3309","","-2.03%"
"02/01/2022","1.3822","1.3706","1.3949","1.3657","","0.91%"
"01/01/2022","1.3698","1.3847","1.3950","1.3566","","-1.05%"
"12/01/2021","1.3844","1.3907","1.4092","1.3637","","-0.41%"
"11/01/2021","1.3901","1.3540","1.3958","1.3464","","2.80%"
"10/01/2021","1.3523","1.3608","1.3693","1.3338","","-0.60%"
"09/01/2021","1.3604","1.3788","1.3924","1.3541","","-1.28%"
"08/01/2021","1.3780","1.3780","1.4110","1.3534","","0.09%"
"07/01/2021","1.3767","1.3403","1.3943","1.3356","","2.78%"
"06/01/2021","1.3395","1.3419","1.3584","1.3358","","-0.10%"
"05/01/2021","1.3408","1.3453","1.3525","1.3289","","-0.31%"
"04/01/2021","1.3450","1.3313","1.3780","1.3278","","1.08%"
"03/01/2021","1.3306","1.4006","1.4053","1.3283","","-5.09%"
"02/01/2021","1.4020","1.4353","1.4379","1.3745","","-2.28%"
"01/01/2021","1.4347","1.4383","1.4524","1.4167","","-0.20%"
"12/01/2020","1.4376","1.4302","1.4575","1.4279","","0.55%"
"11/01/2020","1.4297","1.4547","1.4578","1.4178","","-1.54%"
"10/01/2020","1.4521","1.4462","1.4670","1.4331","","0.46%"
"09/01/2020","1.4455","1.4432","1.4581","1.4262","","0.16%"
"08/01/2020","1.4432","1.4679","1.4713","1.4405","","-1.76%"
"07/01/2020","1.4690","1.4332","1.4825","1.4274","","2.53%"
"06/01/2020","1.4327","1.4323","1.4484","1.3880","","0.05%"
"05/01/2020","1.4320","1.4440","1.4701","1.4147","","-0.82%"
"04/01/2020","1.4438","1.4631","1.4784","1.4215","","-1.29%"
"03/01/2020","1.4627","1.3888","1.5145","1.3791","","5.44%"
"02/01/2020","1.3873","1.3743","1.3995","1.3428","","0.98%"
"01/01/2020","1.3738","1.3418","1.3753","1.3321","","2.45%"
"12/01/2019","1.3409","1.3276","1.3503","1.3264","","1.05%"
"11/01/2019","1.3270","1.3344","1.3470","1.3205","","-0.49%"
"10/01/2019","1.3336","1.3268","1.3455","1.3089","","0.55%"
"09/01/2019","1.3263","1.3450","1.3555","1.3218","","-1.32%"
"08/01/2019","1.3440","1.3271","1.3765","1.3239","","1.31%"
"07/01/2019","1.3266","1.3412","1.3415","1.3135","","-1.04%"
"06/01/2019","1.3406","1.3508","1.3602","1.3340","","-0.67%"
"05/01/2019","1.3496","1.3132","1.3528","1.3117","","2.80%"
"04/01/2019","1.3128","1.3416","1.3446","1.3096","","-2.06%"
"03/01/2019","1.3404","1.3195","1.3548","1.3124","","1.65%"
"02/01/2019","1.3186","1.3198","1.3307","1.3078","","-0.03%"
"01/01/2019","1.3190","1.3892","1.3901","1.3188","","-5.04%"
"12/01/2018","1.3890","1.3273","1.3937","1.3175","","4.40%"
"11/01/2018","1.3305","1.3043","1.3388","1.3005","","2.06%"
"10/01/2018","1.3037","1.3137","1.3245","1.2950","","-0.76%"
"09/01/2018","1.3137","1.3459","1.3672","1.3138","","-2.34%"
"08/01/2018","1.3452","1.3135","1.3506","1.3019","","2.45%"
"07/01/2018","1.3130","1.3265","1.3296","1.3083","","-0.88%"
"06/01/2018","1.3247","1.3146","1.3517","1.3011","","0.81%"
"05/01/2018","1.3141","1.2960","1.3218","1.2706","","1.40%"
"04/01/2018","1.2959","1.3523","1.3566","1.2923","","-4.01%"
"03/01/2018","1.3501","1.3584","1.3844","1.3451","","-0.58%"
"02/01/2018","1.3580","1.3222","1.3635","1.3180","","2.75%"
"01/01/2018","1.3217","1.2910","1.3246","1.2633","","2.40%"
"12/01/2017","1.2907","1.3112","1.3119","1.2758","","-1.52%"
"11/01/2017","1.3106","1.2918","1.3132","1.2696","","1.51%"
"10/01/2017","1.2911","1.2885","1.2975","1.2682","","0.29%"
"09/01/2017","1.2874","1.3021","1.3035","1.2562","","-1.09%"
"08/01/2017","1.3016","1.2909","1.3281","1.2881","","0.90%"
"07/01/2017","1.2900","1.3530","1.3550","1.2810","","-4.61%"
"06/01/2017","1.3523","1.3950","1.4038","1.3503","","-3.03%"
"05/01/2017","1.3945","1.3722","1.3986","1.3522","","1.69%"
"04/01/2017","1.3713","1.3263","1.3795","1.3148","","3.35%"
"03/01/2017","1.3269","1.3224","1.3641","1.3144","","0.37%"
"02/01/2017","1.3220","1.3171","1.3260","1.2943","","0.41%"
"01/01/2017","1.3166","1.3194","1.3339","1.2919","","-0.11%"
"12/01/2016","1.3180","1.3211","1.3403","1.2869","","-0.14%"
"11/01/2016","1.3198","1.3561","1.4167","1.3141","","-2.62%"
"10/01/2016","1.3553","1.3506","1.3614","1.3137","","0.33%"
"09/01/2016","1.3509","1.3320","1.3693","1.3152","","1.48%"
"08/01/2016","1.3312","1.3437","1.3613","1.3254","","-0.95%"
"07/01/2016","1.3440","1.3241","1.3541","1.3108","","1.54%"
"06/01/2016","1.3236","1.3178","1.3545","1.3122","","0.47%"
"05/01/2016","1.3174","1.3097","1.3479","1.3029","","0.76%"
"04/01/2016","1.3075","1.3522","1.3813","1.2917","","-3.23%"
"03/01/2016","1.3512","1.3562","1.3638","1.3156","","-0.30%"
"02/01/2016","1.3552","1.3657","1.4484","1.3484","","-0.70%"
"01/01/2016","1.3648","1.3822","1.4699","1.3636","","-1.15%"
"12/01/2015","1.3807","1.2986","1.4145","1.2925","","6.31%"
"11/01/2015","1.2988","1.3240","1.3316","1.2909","","-1.81%"
"10/01/2015","1.3228","1.3678","1.3728","1.3209","","-3.25%"
"09/01/2015","1.3672","1.3585","1.3871","1.3416","","0.65%"
"08/01/2015","1.3584","1.3557","1.4353","1.3204","","0.32%"
"07/01/2015","1.3540","1.3355","1.3652","1.3255","","1.43%"
"06/01/2015","1.3349","1.3230","1.3464","1.3075","","0.87%"
"05/01/2015","1.3234","1.2952","1.3352","1.2871","","2.22%"
"04/01/2015","1.2946","1.3041","1.3180","1.2556","","-0.74%"
"03/01/2015","1.3042","1.3121","1.3167","1.2574","","-0.56%"
"02/01/2015","1.3115","1.3823","1.3823","1.3053","","-5.05%"
"01/01/2015","1.3813","1.1686","1.6092","1.1556","","18.23%"
"12/01/2014","1.1683","1.1826","1.2197","1.1592","","-1.12%"
"11/01/2014","1.1815","1.1698","1.1905","1.1543","","1.03%"
"10/01/2014","1.1695","1.1725","1.2026","1.1573","","-0.20%"
"09/01/2014","1.1719","1.1858","1.1917","1.1613","","-1.02%"
"08/01/2014","1.1840","1.2003","1.2143","1.1816","","-1.32%"
"07/01/2014","1.1998","1.2034","1.2073","1.1859","","-0.24%"
"06/01/2014","1.2027","1.2110","1.2273","1.1950","","-0.69%"
"05/01/2014","1.2110","1.2450","1.2539","1.2056","","-2.65%"
"04/01/2014","1.2440","1.2490","1.2572","1.2251","","-0.36%"
"03/01/2014","1.2485","1.2563","1.2816","1.2360","","-0.65%"
"02/01/2014","1.2567","1.2282","1.2656","1.2159","","2.42%"
"01/01/2014","1.2270","1.1896","1.2507","1.1708","","3.24%"
"12/01/2013","1.1885","1.1711","1.2124","1.1671","","1.49%"
"11/01/2013","1.1710","1.1503","1.1750","1.1285","","1.83%"
"10/01/2013","1.1499","1.1393","1.1730","1.1276","","0.97%"
"09/01/2013","1.1389","1.1315","1.1440","1.1026","","0.56%"
"08/01/2013","1.1326","1.1094","1.1468","1.1005","","2.13%"
"07/01/2013","1.1090","1.1130","1.1154","1.0797","","-0.39%"
"06/01/2013","1.1133","1.0841","1.1305","1.0754","","2.52%"
"05/01/2013","1.0859","1.0840","1.0903","1.0476","","0.21%"
"04/01/2013","1.0836","1.0717","1.1132","1.0651","","1.19%"
"03/01/2013","1.0709","1.1006","1.1020","1.0638","","-2.61%"
"02/01/2013","1.0996","1.0956","1.1083","1.0825","","0.39%"
"01/01/2013","1.0953","1.0840","1.1040","1.0506","","0.96%"
"12/01/2012","1.0849","1.0701","1.0918","1.0524","","1.20%"
"11/01/2012","1.0720","1.0738","1.0753","1.0470","","-0.06%"
"10/01/2012","1.0726","1.0459","1.0785","1.0380","","2.59%"
"09/01/2012","1.0455","1.0338","1.0545","1.0236","","1.25%"
"08/01/2012","1.0326","1.0270","1.0411","1.0062","","0.57%"
"07/01/2012","1.0267","1.0723","1.0732","1.0213","","-4.17%"
"06/01/2012","1.0714","1.0626","1.0859","1.0610","","0.84%"
"05/01/2012","1.0625","1.0879","1.0940","1.0594","","-2.29%"
"04/01/2012","1.0874","1.0975","1.1076","1.0750","","-1.65%"
"03/01/2012","1.1056","1.0934","1.1078","1.0628","","1.07%"
"02/01/2012","1.0939","1.0887","1.1193","1.0767","","0.49%"
"01/01/2012","1.0886","1.0867","1.0984","1.0634","","0.22%"
"12/01/2011","1.0862","1.1149","1.1223","1.0804","","-2.58%"
"11/01/2011","1.1150","1.1392","1.1555","1.1085","","-2.08%"
"10/01/2011","1.1387","1.1514","1.1647","1.1164","","-1.49%"
"09/01/2011","1.1559","1.2121","1.2710","1.1069","","-4.70%"
"08/01/2011","1.2129","1.2050","1.4022","1.1845","","-0.20%"
"07/01/2011","1.2153","1.1452","1.2184","1.1242","","6.08%"
"06/01/2011","1.1456","1.1342","1.1891","1.1327","","1.12%"
"05/01/2011","1.1329","1.0924","1.1550","1.0789","","3.94%"
"04/01/2011","1.0900","1.0555","1.1027","1.0328","","3.23%"
"03/01/2011","1.0559","1.0454","1.1063","1.0359","","1.05%"
"02/01/2011","1.0449","1.0592","1.0688","1.0108","","-1.40%"
"01/01/2011","1.0597","1.0637","1.0766","1.0108","","-0.72%"
"12/01/2010","1.0674","1.0219","1.0973","1.0065","","4.53%"
