"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","1.9155","1.9395","1.9413","1.8996","","-1.07%"
"10/01/2024","1.9363","1.8628","1.9464","1.8612","","3.98%"
"09/01/2024","1.8621","1.8838","1.9330","1.8568","","-1.03%"
"08/01/2024","1.8815","1.9140","2.0225","1.8788","","-1.68%"
"07/01/2024","1.9137","1.8254","1.9352","1.8081","","4.75%"
"06/01/2024","1.8269","1.8023","1.8501","1.7974","","1.30%"
"05/01/2024","1.8035","1.8476","1.8522","1.7776","","-2.35%"
"04/01/2024","1.8469","1.8524","1.8935","1.8192","","-0.33%"
"03/01/2024","1.8530","1.8571","1.8673","1.8304","","-0.18%"
"02/01/2024","1.8564","1.8980","1.9074","1.8273","","-2.16%"
"01/01/2024","1.8973","1.8784","1.9025","1.8679","","1.07%"
"12/01/2023","1.8773","1.8563","1.8944","1.8386","","1.20%"
"11/01/2023","1.8551","1.8858","1.8981","1.8377","","-1.59%"
"10/01/2023","1.8850","1.8204","1.9301","1.8166","","3.50%"
"09/01/2023","1.8212","1.8974","1.9203","1.8138","","-3.96%"
"08/01/2023","1.8962","1.8470","1.9272","1.8443","","2.71%"
"07/01/2023","1.8462","1.8244","1.8752","1.7921","","1.33%"
"06/01/2023","1.8219","1.8231","1.8379","1.7831","","-0.01%"
"05/01/2023","1.8221","1.8060","1.8363","1.7604","","0.85%"
"04/01/2023","1.8068","1.7452","1.8410","1.7308","","3.52%"
"03/01/2023","1.7454","1.7163","1.7805","1.6981","","1.76%"
"02/01/2023","1.7152","1.6942","1.7411","1.6816","","1.24%"
"01/01/2023","1.6942","1.7032","1.7206","1.6608","","-0.48%"
"12/01/2022","1.7023","1.6783","1.7239","1.6530","","1.43%"
"11/01/2022","1.6783","1.7174","1.7497","1.6753","","-2.23%"
"10/01/2022","1.7165","1.8116","1.8147","1.7152","","-5.14%"
"09/01/2022","1.8095","1.6715","1.8125","1.6595","","8.29%"
"08/01/2022","1.6710","1.6733","1.6944","1.6414","","0.09%"
